house	state	lastname	party	voting	money	ptyxmny	acres	gsp	n_reps	lobby
1	FL	Boyd	0	.7	42	0	5.8	418.851	25	113.5
1	FL	Brown	0	.333333333333333	21	0	5.8	418.851	25	113.5
1	FL	Canady	1	.666666666666667	.5	.5	5.8	418.851	25	113.5
1	FL	Davis	0	.2	9.5	0	5.8	418.851	25	113.5
1	FL	Deutsch	0	.222222222222222	8.5	0	5.8	418.851	25	113.5
1	FL	Diaz-Balart	1	.8	13	13	5.8	418.851	25	113.5
1	FL	Foley	1	.555555555555556	30.901	30.901	5.8	418.851	25	113.5
1	FL	Fowler	1	.888888888888889	1.75	1.75	5.8	418.851	25	113.5
1	FL	Goss	1	.7	0	0	5.8	418.851	25	113.5
1	FL	Hastings	0	.2	5	0	5.8	418.851	25	113.5
1	FL	McCollum	1	.833333333333333	27.5	27.5	5.8	418.851	25	113.5
1	FL	Meek	0	.3	14.5	0	5.8	418.851	25	113.5
1	FL	Mica	1	1	14	14	5.8	418.851	25	113.5
1	FL	Miller	1	.5	0	0	5.8	418.851	25	113.5
1	FL	Ros-Lehtinen	1	.9	10	10	5.8	418.851	25	113.5
1	FL	Scarborough	1	.375	4	4	5.8	418.851	25	113.5
1	FL	Shaw	1	.8	31.5	31.5	5.8	418.851	25	113.5
1	FL	Stearns	1	.9	32.5	32.5	5.8	418.851	25	113.5
1	FL	Thurman	0	.3	8.5	0	5.8	418.851	25	113.5
1	FL	Weldon	1	.9	1	1	5.8	418.851	25	113.5
1	FL	Wexler	0	.111111111111111	0	0	5.8	418.851	25	113.5
1	FL	Young	1	.555555555555556	0	0	5.8	418.851	25	113.5
0	GA	Cleland	0	.153846153846154	4	0	33	253.769	13	58
0	GA	Coverdell	1	.692307692307692	47.5	47.5	33	253.769	13	58
1	GA	Barr	1	.9	30	30	33	253.769	13	58
1	GA	Bishop	0	.7	69.2	0	33	253.769	13	58
1	GA	Chambliss	1	.9	65	65	33	253.769	13	58
1	GA	Collins	1	1	32.5	32.5	33	253.769	13	58
1	GA	Deal	1	.9	29.7	29.7	33	253.769	13	58
1	GA	Isakson	1	1	8.5	8.5	33	253.769	13	58
1	GA	Kingston	1	1	42.5	42.5	33	253.769	13	58
1	GA	Lewis	0	0	0	0	33	253.769	13	58
1	GA	Linder	1	.9	38.5	38.5	33	253.769	13	58
1	GA	McKinney	0	.2	2.952	0	33	253.769	13	58
1	GA	Norwood	1	.9	63	63	33	253.769	13	58
0	HI	Akaka	0	.102564102564103	2	0	0	39.712	4	62
0	HI	Inouye	0	.242424242424242	8	0	0	39.712	4	62
1	HI	Abercrombie	0	.3	6.5	0	0	39.712	4	62
1	HI	Mink	0	.2	0	0	0	39.712	4	62
0	IA	Grassley	1	.641025641025641	12.166	12.166	0	84.628	7	60
0	IA	Harkin	0	.0256410256410256	0	0	0	84.628	7	60
1	IA	Boswell	0	.3	0	0	0	84.628	7	60
1	IA	Ganske	1	.3	0	0	0	84.628	7	60
1	IA	Latham	1	1	51.5	51.5	0	84.628	7	60
1	IA	Leach	1	.444444444444444	0	0	0	84.628	7	60
1	IA	Nussle	1	.9	37.5	37.5	0	84.628	7	60
0	ID	Craig	1	.794871794871795	26	26	0	30.936	4	38
1	ID	Chenoweth	1	.8	21	21	0	30.936	4	38
1	ID	Simpson	1	1	0	0	0	30.936	4	38
0	IL	Durbin	0	0	0	0	0	425.679	22	70
1	IL	Biggert	1	1	9	9	0	425.679	22	70
1	IL	Blagojevich	0	.1	0	0	0	425.679	22	70
1	IL	Costello	0	.4	.5	0	0	425.679	22	70
1	IL	Crane	1	.9	31.5	31.5	0	425.679	22	70
1	IL	Davis	0	.1	0	0	0	425.679	22	70
1	IL	Evans	0	.1	0	0	0	425.679	22	70
1	IL	Ewing	1	.888888888888889	42.375	42.375	0	425.679	22	70
1	IL	Gutierrez	0	0	0	0	0	425.679	22	70
1	IL	Hastert	1	.75	17.5	17.5	0	425.679	22	70
1	IL	Hyde	1	1	2	2	0	425.679	22	70
1	IL	Jackson	0	.1	3.5	0	0	425.679	22	70
1	IL	LaHood	1	.8	18.5	18.5	0	425.679	22	70
1	IL	Lipinski	0	.3	0	0	0	425.679	22	70
1	IL	Manzullo	1	.7	0	0	0	425.679	22	70
1	IL	Phelps	0	.8	0	0	0	425.679	22	70
1	IL	Porter	1	.3	.5	.5	0	425.679	22	70
1	IL	Rush	0	.111111111111111	1	0	0	425.679	22	70
1	IL	Schakowsky	0	0	0	0	0	425.679	22	70
1	IL	Shimkus	1	.9	42.15	42.15	0	425.679	22	70
1	IL	Weller	1	1	10.5	10.5	0	425.679	22	70
0	IN	Lugar	1	.641025641025641	2	2	6.5	174.433	12	42
1	IN	Burton	1	1	9	9	6.5	174.433	12	42
1	IN	Buyer	1	1	26.5	26.5	6.5	174.433	12	42
1	IN	Carson	0	0	0	0	6.5	174.433	12	42
1	IN	Hill	0	.6	25	0	6.5	174.433	12	42
1	IN	Hostettler	1	1	.5	.5	6.5	174.433	12	42
1	IN	McIntosh	1	.857142857142857	27	27	6.5	174.433	12	42
1	IN	Pease	1	1	25.5	25.5	6.5	174.433	12	42
1	IN	Roemer	0	.3	.5	0	6.5	174.433	12	42
1	IN	Souder	1	.8	5	5	6.5	174.433	12	42
1	IN	Visclosky	0	.3	0	0	6.5	174.433	12	42
0	KS	Brownback	1	.743589743589744	.5	.5	0	76.991	6	42
0	KS	Roberts	1	.783783783783784	25.347	25.347	0	76.991	6	42
1	KS	Moore	0	.4	0	0	0	76.991	6	42
1	KS	Moran	1	.8	0	0	0	76.991	6	42
1	KS	Ryun	1	.9	0	0	0	76.991	6	42
1	KS	Tiahrt	1	.7	22.5	22.5	0	76.991	6	42
0	KY	McConnell	1	.948717948717949	56.95	56.95	221.65	107.152	8	37
1	KY	Fletcher	1	1	58.642	58.642	221.65	107.152	8	37
1	KY	Lewis	1	.9	76	76	221.65	107.152	8	37
1	KY	Lucas	0	1	37.5	0	221.65	107.152	8	37
1	KY	Northup	1	.9	1.5	1.5	221.65	107.152	8	37
1	KY	Rogers	1	1	52	52	221.65	107.152	8	37
1	KY	Whitfield	1	.9	113.1	113.1	221.65	107.152	8	37
0	LA	Breaux	0	.282051282051282	17	0	0	129.251	10	70
0	LA	Landrieu	0	.128205128205128	2.5	0	0	129.251	10	70
1	LA	Baker	1	.9	19.5	19.5	0	129.251	10	70
1	LA	Cooksey	1	.8	0	0	0	129.251	10	70
1	LA	Jefferson	0	.25	20.5	0	0	129.251	10	70
1	LA	John	0	.9	22.5	0	0	129.251	10	70
1	LA	Livingston	1	1	20.5	20.5	0	129.251	10	70
1	LA	McCrery	1	1	26.5	26.5	0	129.251	10	70
1	LA	Tauzin	1	.888888888888889	60.955	60.955	0	129.251	10	70
1	LA	Vitter	1	1	4.5	4.5	0	129.251	10	70
0	MA	Kennedy	0	0	0	0	1.32	239.379	12	78
0	MA	Kerry	0	.0512820512820513	-2.5	0	1.32	239.379	12	78
1	MA	Capuano	0	0	0	0	1.32	239.379	12	78
1	MA	Delahunt	0	0	0	0	1.32	239.379	12	78
1	MA	Frank	0	.1	0	0	1.32	239.379	12	78
1	MA	Markey	0	.1	0	0	1.32	239.379	12	78
1	MA	McGovern	0	.1	0	0	1.32	239.379	12	78
1	MA	Meehan	0	0	0	0	1.32	239.379	12	78
1	MA	Moakley	0	0	0	0	1.32	239.379	12	78
1	MA	Neal	0	0	.5	0	1.32	239.379	12	78
1	MA	Olver	0	0	0	0	1.32	239.379	12	78
1	MA	Tierney	0	0	0	0	1.32	239.379	12	78
0	MD	Mikulski	0	.0526315789473684	0	0	6.5	164.798	10	68
0	MD	Sarbanes	0	.0256410256410256	0	0	6.5	164.798	10	68
1	MD	Bartlett	1	.8	2	2	6.5	164.798	10	68
1	MD	Cardin	0	.1	0	0	6.5	164.798	10	68
1	MD	Cummings	0	.2	.5	0	6.5	164.798	10	68
1	MD	Ehrlich	1	.9	26	26	6.5	164.798	10	68
1	MD	Gilchrest	1	.6	0	0	6.5	164.798	10	68
1	MD	Hoyer	0	.2	24.5	0	6.5	164.798	10	68
1	MD	Morella	1	.1	0	0	6.5	164.798	10	68
1	MD	Wynn	0	.2	2	0	6.5	164.798	10	68
0	ME	Collins	1	.384615384615385	0	0	0	32.318	4	70
0	ME	Snowe	1	.41025641025641	7	7	0	32.318	4	70
1	ME	Allen	0	.1	0	0	0	32.318	4	70
1	ME	Baldacci	0	.2	2.5	0	0	32.318	4	70
0	MI	Abraham	1	.641025641025641	31.5	31.5	0	294.505	18	85
0	MI	Levin	0	.0769230769230769	0	0	0	294.505	18	85
1	MI	Barcia	0	.6	4	0	0	294.505	18	85
1	MI	Bonior	0	.3	22.5	0	0	294.505	18	85
1	MI	Camp	1	.9	12	12	0	294.505	18	85
1	MI	Conyers	0	0	.5	0	0	294.505	18	85
1	MI	Dingell	0	.125	50.5	0	0	294.505	18	85
1	MI	Ehlers	1	.6	0	0	0	294.505	18	85
1	MI	Hoekstra	1	.777777777777778	0	0	0	294.505	18	85
1	MI	Kildee	0	0	1	0	0	294.505	18	85
1	MI	Kilpatrick	0	.3	4	0	0	294.505	18	85
1	MI	Knollenberg	1	1	9.5	9.5	0	294.505	18	85
1	MI	Levin	0	.2	0	0	0	294.505	18	85
1	MI	Rivers	0	0	0	0	0	294.505	18	85
1	MI	Smith	1	.8	0	0	0	294.505	18	85
1	MI	Stabenow	0	.3	0	0	0	294.505	18	85
1	MI	Stupak	0	0	15	0	0	294.505	18	85
1	MI	Upton	1	.6	2.5	2.5	0	294.505	18	85
0	MN	Grams	1	.82051282051282	71	71	0	161.392	10	120
0	MN	Wellstone	0	.0256410256410256	0	0	0	161.392	10	120
1	MN	Gutknecht	1	.8	14.75	14.75	0	161.392	10	120
1	MN	Luther	0	.2	0	0	0	161.392	10	120
1	MN	Minge	0	.2	.5	0	0	161.392	10	120
1	MN	Oberstar	0	.222222222222222	0	0	0	161.392	10	120
1	MN	Peterson	0	.7	22	0	0	161.392	10	120
1	MN	Ramstad	1	.5	2.5	2.5	0	161.392	10	120
1	MN	Sabo	0	.2	7.5	0	0	161.392	10	120
1	MN	Vento	0	.142857142857143	0	0	0	161.392	10	120
0	MO	Ashcroft	1	.794871794871795	8	8	2.3	162.772	11	57.5
0	MO	Bond	1	.641025641025641	6	6	2.3	162.772	11	57.5
1	MO	Blunt	1	1	27.957	27.957	2.3	162.772	11	57.5
1	MO	Clay	0	.444444444444444	7.5	0	2.3	162.772	11	57.5
1	MO	Danner	0	.9	17	0	2.3	162.772	11	57.5
1	MO	Emerson	1	.8	0	0	2.3	162.772	11	57.5
1	MO	Gephardt	0	.375	37.25	0	2.3	162.772	11	57.5
1	MO	Hulshof	1	.8	7	7	2.3	162.772	11	57.5
1	MO	McCarthy	0	.1	.5	0	2.3	162.772	11	57.5
1	MO	Skelton	0	.6	11.5	0	2.3	162.772	11	57.5
1	MO	Talent	1	.7	19.35	19.35	2.3	162.772	11	57.5
0	MS	Cochran	1	.743589743589744	14	14	0	62.216	7	34
0	MS	Lott	1	.90625	28.75	28.75	0	62.216	7	34
1	MS	Pickering	1	1	0	0	0	62.216	7	34
1	MS	Shows	0	.4	4.5	0	0	62.216	7	34
1	MS	Taylor	0	.4	5	0	0	62.216	7	34
1	MS	Thompson	0	.555555555555556	24	0	0	62.216	7	34
1	MS	Wicker	1	1	32.5	32.5	0	62.216	7	34
0	MT	Baucus	0	.128205128205128	7	0	0	19.861	3	46
0	MT	Burns	1	.868421052631579	73.5	73.5	0	19.861	3	46
1	MT	Hill	1	.7	9	9	0	19.861	3	46
0	NC	Helms	1	.974358974358974	66.75	66.75	207.8	235.752	14	58
1	NC	Ballenger	1	.8	28	28	207.8	235.752	14	58
1	NC	Burr	1	1	45.25	45.25	207.8	235.752	14	58
1	NC	Clayton	0	.5	46.5	0	207.8	235.752	14	58
1	NC	Coble	1	1	55.442	55.442	207.8	235.752	14	58
1	NC	Etheridge	0	.7	85.7	0	207.8	235.752	14	58
1	NC	Hayes	1	1	61.25	61.25	207.8	235.752	14	58
1	NC	Jones	1	.9	96.45	96.45	207.8	235.752	14	58
1	NC	McIntyre	0	.8	49.5	0	207.8	235.752	14	58
1	NC	Myrick	1	.888888888888889	31.5	31.5	207.8	235.752	14	58
1	NC	Price	0	.8	35	0	207.8	235.752	14	58
1	NC	Taylor	1	1	39	39	207.8	235.752	14	58
1	NC	Watt	0	.5	18.5	0	207.8	235.752	14	58
0	ND	Conrad	0	.128205128205128	17	0	0	17.214	3	27.5
0	ND	Dorgan	0	.102564102564103	0	0	0	17.214	3	27.5
1	ND	Pomeroy	0	.222222222222222	10	0	0	17.214	3	27.5
0	NE	Hagel	1	.846153846153846	22	22	0	51.737	5	30
0	NE	Kerrey	0	.157894736842105	32.5	0	0	51.737	5	30
1	NE	Barrett	1	.8	4.5	4.5	0	51.737	5	30
1	NE	Bereuter	1	.7	8.05	8.05	0	51.737	5	30
1	NE	Terry	1	.8	.5	.5	0	51.737	5	30
0	NH	Gregg	1	.684210526315789	5.166	5.166	0	41.313	4	38
0	NH	Smith	1	.805555555555556	24	24	0	41.313	4	38
1	NH	Bass	1	.8	29	29	0	41.313	4	38
1	NH	Sununu	1	.8	.5	.5	0	41.313	4	38
0	NJ	Lautenberg	0	0	0	0	0	319.201	15	78
0	NJ	Torricelli	0	.0512820512820513	.5	0	0	319.201	15	78
1	NJ	Andrews	0	.2	7	0	0	319.201	15	78
1	NJ	Franks	1	.4	10.05	10.05	0	319.201	15	78
1	NJ	Frelinghuysen	1	.6	1	1	0	319.201	15	78
1	NJ	Holt	0	.2	0	0	0	319.201	15	78
1	NJ	LoBiondo	1	.6	1	1	0	319.201	15	78
1	NJ	Menendez	0	.3	3.5	0	0	319.201	15	78
1	NJ	Pallone	0	.2	3.5	0	0	319.201	15	78
1	NJ	Pascrell	0	.2	0	0	0	319.201	15	78
1	NJ	Payne	0	.222222222222222	.5	0	0	319.201	15	78
1	NJ	Rothman	0	.375	0	0	0	319.201	15	78
1	NJ	Roukema	1	.333333333333333	0	0	0	319.201	15	78
1	NJ	Saxton	1	.7	20	20	0	319.201	15	78
1	NJ	Smith	1	.4	0	0	0	319.201	15	78
0	NM	Bingaman	0	.0294117647058824	0	0	0	47.736	5	39
0	NM	Domenici	1	.794871794871795	16	16	0	47.736	5	39
1	NM	Skeen	1	.9	3.5	3.5	0	47.736	5	39
1	NM	Udall	0	.2	0	0	0	47.736	5	39
1	NM	Wilson	1	.833333333333333	0	0	0	47.736	5	39
0	NV	Bryan	0	.128205128205128	12.5	0	0	63.044	4	42
0	NV	Reid	0	.0769230769230769	6.5	0	0	63.044	4	42
1	NV	Berkley	0	.2	0	0	0	63.044	4	42
1	NV	Gibbons	1	.7	7	7	0	63.044	4	42
0	NY	Moynihan	0	.205128205128205	7	0	0	706.886	33	120
1	NY	Ackerman	0	.1	0	0	0	706.886	33	120
1	NY	Boehlert	1	.8	12.75	12.75	0	706.886	33	120
1	NY	Crowley	0	0	7.75	0	0	706.886	33	120
1	NY	Engel	0	0	10.5	0	0	706.886	33	120
1	NY	Forbes	1	.8	24	24	0	706.886	33	120
1	NY	Fossella	1	1	20.5	20.5	0	706.886	33	120
1	NY	Gilman	1	.3	1	1	0	706.886	33	120
1	NY	Hinchey	0	0	0	0	0	706.886	33	120
1	NY	Houghton	1	.9	17.5	17.5	0	706.886	33	120
1	NY	Kelly	1	.5	15	15	0	706.886	33	120
1	NY	King	1	.444444444444444	2	2	0	706.886	33	120
1	NY	LaFalce	0	.1	0	0	0	706.886	33	120
1	NY	Lazio	1	.625	3.5	3.5	0	706.886	33	120
1	NY	Lowey	0	.1	2.5	0	0	706.886	33	120
1	NY	Maloney	0	.1	1	0	0	706.886	33	120
1	NY	McCarthy	0	.2	0	0	0	706.886	33	120
1	NY	McHugh	1	.7	4.5	4.5	0	706.886	33	120
1	NY	McNulty	0	.1	3	0	0	706.886	33	120
1	NY	Meeks	0	0	.5	0	0	706.886	33	120
1	NY	Nadler	0	.1	0	0	0	706.886	33	120
1	NY	Owens	0	.1	0	0	0	706.886	33	120
1	NY	Quinn	1	.5	2.5	2.5	0	706.886	33	120
1	NY	Rangel	0	0	47.89	0	0	706.886	33	120
1	NY	Reynolds	1	1	8.5	8.5	0	706.886	33	120
1	NY	Serrano	0	.1	0	0	0	706.886	33	120
1	NY	Slaughter	0	0	.5	0	0	706.886	33	120
1	NY	Sweeney	1	1	11.5	11.5	0	706.886	33	120
1	NY	Towns	0	.285714285714286	42	0	0	706.886	33	120
1	NY	Velazquez	0	.1	0	0	0	706.886	33	120
1	NY	Walsh	1	.9	.5	.5	0	706.886	33	120
1	NY	Weiner	0	0	0	0	0	706.886	33	120
0	OH	DeWine	1	.435897435897436	23	23	9.8	341.07	21	50
1	OH	Boehner	1	.9	60.006	60.006	9.8	341.07	21	50
1	OH	Brown	0	0	5.5	0	9.8	341.07	21	50
1	OH	Chabot	1	.7	36.25	36.25	9.8	341.07	21	50
1	OH	Gillmor	1	.8	20.625	20.625	9.8	341.07	21	50
1	OH	Hall	0	.222222222222222	6	0	9.8	341.07	21	50
1	OH	Hobson	1	.6	9	9	9.8	341.07	21	50
1	OH	Kaptur	0	.1	0	0	9.8	341.07	21	50
1	OH	Kasich	1	.666666666666667	8.5	8.5	9.8	341.07	21	50
1	OH	Kucinich	0	.2	0	0	9.8	341.07	21	50
1	OH	LaTourette	1	.7	19	19	9.8	341.07	21	50
1	OH	Ney	1	.8	37.65	37.65	9.8	341.07	21	50
1	OH	Oxley	1	.9	20.6	20.6	9.8	341.07	21	50
1	OH	Portman	1	.8	0	0	9.8	341.07	21	50
1	OH	Pryce	1	.5	9.5	9.5	9.8	341.07	21	50
1	OH	Regula	1	.7	0	0	9.8	341.07	21	50
1	OH	Sawyer	0	.1	0	0	9.8	341.07	21	50
1	OH	Strickland	0	.3	.5	0	9.8	341.07	21	50
1	OH	Traficant.	0	.3	0	0	9.8	341.07	21	50
1	OH	Tubbs-Jones	0	0	0	0	9.8	341.07	21	50
0	OK	Inhofe	1	.868421052631579	30.5	30.5	0	81.655	8	50
0	OK	Nickles	1	.846153846153846	15.166	15.166	0	81.655	8	50
1	OK	Coburn	1	.875	0	0	0	81.655	8	50
1	OK	Istook	1	.888888888888889	10	10	0	81.655	8	50
1	OK	Largent	1	.888888888888889	0	0	0	81.655	8	50
1	OK	Lucas	1	.9	23.25	23.25	0	81.655	8	50
1	OK	Watkins	1	.9	.5	.5	0	81.655	8	50
1	OK	Watts	1	.9	20.5	20.5	0	81.655	8	50
0	OR	Smith	1	.512820512820513	0	0	0	104.771	7	50
0	OR	Wyden	0	0	0	0	0	104.771	7	50
1	OR	Blumenauer	0	.1	0	0	0	104.771	7	50
1	OR	DeFazio	0	0	0	0	0	104.771	7	50
1	OR	Hooley	0	.444444444444444	0	0	0	104.771	7	50
1	OR	Walden	1	1	0	0	0	104.771	7	50
1	OR	Wu	0	.2	0	0	0	104.771	7	50
0	PA	Santorum	1	.717948717948718	62.5	62.5	6.2	364.039	23	82
0	PA	Specter	1	.16	6.166	6.166	6.2	364.039	23	82
1	PA	Borski	0	.1	2	0	6.2	364.039	23	82
1	PA	Brady	0	.142857142857143	0	0	6.2	364.039	23	82
1	PA	Coyne	0	.1	5.5	0	6.2	364.039	23	82
1	PA	Doyle	0	.2	.5	0	6.2	364.039	23	82
1	PA	English	1	.5	44.75	44.75	6.2	364.039	23	82
1	PA	Fattah	0	.111111111111111	.5	0	6.2	364.039	23	82
1	PA	Gekas	1	1	.5	.5	6.2	364.039	23	82
1	PA	Goodling	1	.8	0	0	6.2	364.039	23	82
1	PA	Greenwood	1	.333333333333333	0	0	6.2	364.039	23	82
1	PA	Hoeffel	0	0	0	0	6.2	364.039	23	82
1	PA	Holden	0	.375	5.25	0	6.2	364.039	23	82
1	PA	Kanjorski	0	.1	0	0	6.2	364.039	23	82
1	PA	Klink	0	.375	12.5	0	6.2	364.039	23	82
1	PA	Mascara	0	.3	1	0	6.2	364.039	23	82
1	PA	Murtha	0	.5	9.5	0	6.2	364.039	23	82
1	PA	Peterson	1	.8	4	4	6.2	364.039	23	82
1	PA	Pitts	1	1	10	10	6.2	364.039	23	82
1	PA	Sherwood	1	.6	35.692	35.692	6.2	364.039	23	82
1	PA	Shuster	1	.888888888888889	7	7	6.2	364.039	23	82
1	PA	Toomey	1	1	22.5	22.5	6.2	364.039	23	82
1	PA	Weldon	1	.6	2.5	2.5	6.2	364.039	23	82
0	RI	Chafee	1	.473684210526316	0	0	0	30.443	5	40
0	RI	Reed	0	0	0	0	0	30.443	5	40
1	RI	Kennedy	0	0	3	0	0	30.443	5	40
1	RI	Weygand	0	0	0	0	0	30.443	5	40
0	SC	Hollings	0	.435897435897436	49	0	39	100.35	8	45
0	SC	Thurmond	1	.846153846153846	15.5	15.5	39	100.35	8	45
1	SC	Clyburn	0	.6	9.5	0	39	100.35	8	45
1	SC	DeMint	1	1	0	0	39	100.35	8	45
1	SC	Graham	1	.888888888888889	27.5	27.5	39	100.35	8	45
1	SC	Sanford	1	.888888888888889	0	0	39	100.35	8	45
1	SC	Spence	1	1	21.5	21.5	39	100.35	8	45
